score,pop,song_a,song_b,bpm
99,78,Aya Nakamura - Sexy Nana (w/ La Rvfleuze),Olivia Dean - Ok Love You Bye,107<->103
99,78,Pashanim - Goldrichtig,Olivia Dean - Dive,89<->89
99,78,Vance Joy - Riptide,Guns N Roses - Sweet Child O' Mine,129<->123
99,77,Michael Jackson - Billie Jean,Lagui - MaracanÃ£,117<->117
99,77,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj),Grupo Marca Registrada - Di Que SÃ­ (w/ Grupo Frontera),129<->129
99,77,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj),"Mc Lele JP - Vai Tomando Pock Pock (w/ MC Leozinho ZS, MC GH Original, MC Menor ZL, DJ GORDINHO DA VF, MC Meno K, MC PR)",129<->129
99,77,Ariana Grande - hate that i made you love me,Ian Cordova - Te Amo y Me Amas,95<->99
99,77,Mauvais djo - PilÃ©,Nono La Grinta - Terrain,129<->129
99,77,Mauvais djo - PilÃ©,"Mc NegÃ£o Original - Vou pela Madrugada (w/ MC Jvila, MC Willian, DJ Japa NK, MC Meno K, DJ Guh Mix)",129<->123
99,77,Katy Perry - The One That Got Away,Navaan Sandhu - Deewane (w/ Bir),136<->129
99,77,Katy Perry - The One That Got Away,Lari Ferreira - Tudo Que Eu Queria Agora,136<->129
99,77,Katy Perry - The One That Got Away,Chuyin - CASADITAS,136<->129
99,77,Ella Langley - Be Her,Lari Ferreira - A Maior Saudade / TijolÃ£o / Eu Sei De Cor,112<->107
99,77,Peso Pluma - daÃ±o (w/ Tito Double P),TK - On vas s'oublier,112<->117
99,77,Drake - Janice STFU,El Rabbanito - La Formula,123<->117
99,77,Future - California Girls,LAVINIA - Reasons (w/ Ely Oaks),152<->152
99,77,Future - California Girls,"PEDRO SAMPAIO - JETSKI (w/ MC Meno K, Melody)",152<->152
99,77,Aya Nakamura - Sexy Nana (w/ La Rvfleuze),Murilo Huff - Dois Enganados (w/ MarÃ­lia MendonÃ§a),107<->103
99,77,STELLA LEFTY - Boston,Harsh Nussi - Sadi Sun,123<->117
99,77,Ken Carson - deaf note (w/ Playboi Carti),Karan Aujla - Boyfriend (w/ Ikky),99<->95
